Iter L2_norm L2_norm_weighted Drag Lift
100 -1.0000e+00 -5.7036e-06 0.000000 0.000000
101 -1.0000e+00 -5.7036e-06 0.000000 0.000000
102 -1.0000e+00 -5.7036e-06 0.000000 0.000000
103 -1.0000e+00 -5.7036e-06 0.000000 0.000000
104 -1.0000e+00 -5.7036e-06 0.000000 0.000000
105 -1.0000e+00 -5.7036e-06 0.000000 0.000000
106 -1.0000e+00 -5.7036e-06 0.000000 0.000000
107 -1.0000e+00 -5.7036e-06 0.000000 0.000000
108 -1.0000e+00 -5.7036e-06 0.000000 0.000000
109 -1.0000e+00 -5.7036e-06 0.000000 0.000000
110 -1.0000e+00 -5.7036e-06 0.000000 0.000000
111 -1.0000e+00 -5.7036e-06 0.000000 0.000000
112 -1.0000e+00 -5.7036e-06 0.000000 0.000000
113 -1.0000e+00 -5.7036e-06 0.000000 0.000000
114 -1.0000e+00 -5.7036e-06 0.000000 0.000000
115 -1.0000e+00 -5.7036e-06 0.000000 0.000000
116 -1.0000e+00 -5.7036e-06 0.000000 0.000000
117 -1.0000e+00 -5.7036e-06 0.000000 0.000000
118 -1.0000e+00 -5.7036e-06 0.000000 0.000000
119 -1.0000e+00 -5.7036e-06 0.000000 0.000000
120 -1.0000e+00 -5.7036e-06 0.000000 0.000000
121 -1.0000e+00 -5.7036e-06 0.000000 0.000000
122 -1.0000e+00 -5.7036e-06 0.000000 0.000000
123 -1.0000e+00 -5.7036e-06 0.000000 0.000000
124 -1.0000e+00 -5.7036e-06 0.000000 0.000000
125 -1.0000e+00 -5.7036e-06 0.000000 0.000000
126 -1.0000e+00 -5.7036e-06 0.000000 0.000000
127 -1.0000e+00 -5.7036e-06 0.000000 0.000000
128 -1.0000e+00 -5.7036e-06 0.000000 0.000000
129 -1.0000e+00 -5.7036e-06 0.000000 0.000000
130 -1.0000e+00 -5.7036e-06 0.000000 0.000000
131 -1.0000e+00 -5.7036e-06 0.000000 0.000000
132 -1.0000e+00 -5.7036e-06 0.000000 0.000000
133 -1.0000e+00 -5.7036e-06 0.000000 0.000000
134 -1.0000e+00 -5.7036e-06 0.000000 0.000000
135 -1.0000e+00 -5.7036e-06 0.000000 0.000000
136 -1.0000e+00 -5.7036e-06 0.000000 0.000000
137 -1.0000e+00 -5.7036e-06 0.000000 0.000000
138 -1.0000e+00 -5.7036e-06 0.000000 0.000000
139 -1.0000e+00 -5.7036e-06 0.000000 0.000000
140 -1.0000e+00 -5.7036e-06 0.000000 0.000000
141 -1.0000e+00 -5.7036e-06 0.000000 0.000000
142 -1.0000e+00 -5.7036e-06 -539310990295040.000000 -539310990295040.000000
143 -1.0000e+00 -5.7036e-06 0.000000 0.000000
144 -1.0000e+00 -5.7036e-06 -492169429254144.000000 -492169429254144.000000
145 -1.0000e+00 -5.7036e-06 0.000000 0.000000
146 -1.0000e+00 -5.7036e-06 -468529929256960.000000 -468529929256960.000000
147 -1.0000e+00 -5.7036e-06 0.000000 0.000000
148 -1.0000e+00 -5.7036e-06 0.000000 0.000000
149 -1.0000e+00 -5.7036e-06 0.000000 0.000000
150 -1.0000e+00 -5.7036e-06 0.000000 0.000000
151 -1.0000e+00 -5.7036e-06 0.000000 0.000000
152 -1.0000e+00 -5.7036e-06 0.000000 0.000000
153 -1.0000e+00 -5.7036e-06 0.000000 0.000000
154 -1.0000e+00 -5.7036e-06 -163209025683456.000000 -163209025683456.000000
155 -1.0000e+00 -5.7036e-06 0.000000 0.000000
156 -1.0000e+00 -5.7036e-06 -58222643773440.000000 -58222643773440.000000
157 -1.0000e+00 -5.7036e-06 0.000000 0.000000
158 -1.0000e+00 -5.7036e-06 0.000000 0.000000
159 -1.0000e+00 -5.7036e-06 0.000000 0.000000
160 -1.0000e+00 -5.7036e-06 0.000000 0.000000
161 -1.0000e+00 -5.7036e-06 0.000000 0.000000
162 -1.0000e+00 -5.7036e-06 0.000000 0.000000
163 -1.0000e+00 -5.7036e-06 0.000000 0.000000
164 -1.0000e+00 -5.7036e-06 0.000000 0.000000
165 -1.0000e+00 -5.7036e-06 0.000000 0.000000
166 -1.0000e+00 -5.7036e-06 0.000000 0.000000
